Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Column1,Opposition,Ground,Start DateAscending,Column2
58,118,80,9,0,72.5,3,caught,1,,v New Zealand,Mohali,01-Nov-06,ODI # 2441
0,5,2,0,0,0,3,lbw,2,,v West Indies,Brabourne,05-Nov-06,ODI # 2443
82*,120,96,8,0,85.41,3,not out,2,,v England,Melbourne,12-Jan-07,ODI # 2473
10,41,22,2,0,45.45,3,caught,1,,v New Zealand,Hobart,14-Jan-07,ODI # 2474
5,16,15,1,0,33.33,4,lbw,2,,v New Zealand,Sydney,21-Jan-07,ODI # 2479
51*,71,61,6,0,83.6,3,not out,2,,v England,Adelaide,26-Jan-07,ODI # 2486
111,170,122,8,1,90.98,3,caught,1,,v New Zealand,Perth,28-Jan-07,ODI # 2488
104,171,113,6,1,92.03,3,caught,2,,v New Zealand,Melbourne,04-Feb-07,ODI # 2501
75,109,75,7,0,100,3,caught,1,,v England,Melbourne,09-Feb-07,ODI # 2515
7,6,6,1,0,116.66,3,caught,2,,v England,Sydney,11-Feb-07,ODI # 2519
113,144,93,9,5,121.5,3,bowled,1,,v Scotland,Basseterre,14-Mar-07,ODI # 2532
23,33,22,4,1,104.54,3,caught,1,,v Netherlands,Basseterre,18-Mar-07,ODI # 2540
91,136,91,8,2,100,3,caught,1,,v South Africa,Basseterre,24-Mar-07,ODI # 2552
35,46,36,4,1,97.22,3,run out,1,,v West Indies,North Sound,27-Mar-07,ODI # 2555
DNB,-,-,-,-,-,-,-,2,,v Bangladesh,North Sound,31-Mar-07,ODI # 2559
86,133,106,11,0,81.13,3,run out,2,,v England,North Sound,08-Apr-07,ODI # 2565
DNB,-,-,-,-,-,-,-,2,,v Ireland,Bridgetown,13-Apr-07,ODI # 2570
66*,116,80,4,1,82.5,3,not out,2,,v Sri Lanka,St George's,16-Apr-07,ODI # 2573
66,96,70,7,0,94.28,3,caught,1,,v New Zealand,St George's,20-Apr-07,ODI # 2577
22,38,25,5,0,88,3,bowled,2,,v South Africa,Gros Islet,25-Apr-07,ODI # 2580
37,53,42,1,1,88.09,3,run out,1,,v Sri Lanka,Bridgetown,28-Apr-07,ODI # 2581
25,64,43,3,0,58.13,3,caught,1,,v India,Hyderabad,05-Oct-07,ODI # 2625
29,62,33,5,0,87.87,3,stumped,2,,v India,Chandigarh,08-Oct-07,ODI # 2627
39*,59,39,5,0,100,3,not out,2,,v India,Vadodara,11-Oct-07,ODI # 2629
49,62,44,7,1,111.36,3,caught,1,,v India,Nagpur,14-Oct-07,ODI # 2631
57,129,78,9,0,73.07,3,caught,1,,v India,Wankhede,17-Oct-07,ODI # 2632
107*,158,108,13,0,99.07,3,not out,2,,v New Zealand,Adelaide,14-Dec-07,ODI # 2655
TDNB,-,-,-,-,-,-,-,-,,v New Zealand,Sydney,16-Dec-07,ODI # 2656
134*,198,133,10,2,100.75,3,not out,1,,v New Zealand,Hobart,20-Dec-07,ODI # 2657
0,12,2,0,0,0,3,caught,2,,v India,Brisbane,03-Feb-08,ODI # 2670
9,34,22,1,0,40.9,3,caught,1,,v Sri Lanka,Sydney,08-Feb-08,ODI # 2673
9,39,15,0,0,60,3,caught,1,,v India,Melbourne,10-Feb-08,ODI # 2675
25,35,25,4,0,100,3,caught,1,,v Sri Lanka,Perth,15-Feb-08,ODI # 2679
10,24,14,1,0,71.42,3,caught,1,,v India,Adelaide,17-Feb-08,ODI # 2680
11,58,34,0,0,32.35,3,run out,1,,v Sri Lanka,Melbourne,22-Feb-08,ODI # 2683
124,190,133,7,1,93.23,3,caught,1,,v India,Sydney,24-Feb-08,ODI # 2685
1,25,11,0,0,9.09,3,lbw,2,,v Sri Lanka,Melbourne,29-Feb-08,ODI # 2687
1,7,5,0,0,20,3,bowled,1,,v India,Sydney,02-Mar-08,ODI # 2688
1,9,7,0,0,14.28,3,caught,2,,v India,Brisbane,04-Mar-08,ODI # 2689
5,24,20,0,0,25,3,bowled,1,,v West Indies,Kingstown,24-Jun-08,ODI # 2713
13,37,17,2,0,76.47,3,caught,1,,v West Indies,St George's,27-Jun-08,ODI # 2719
69,142,83,7,0,83.13,3,caught,2,,v West Indies,St George's,29-Jun-08,ODI # 2724
46,71,54,5,0,85.18,3,caught,1,,v South Africa,Melbourne,16-Jan-09,ODI # 2795
64,106,72,7,0,88.88,3,caught,1,,v South Africa,Hobart,18-Jan-09,ODI # 2796
29,50,27,3,0,107.4,3,caught,1,,v South Africa,Sydney,23-Jan-09,ODI # 2802
63,87,70,9,0,90,3,caught,1,,v South Africa,Adelaide,26-Jan-09,ODI # 2804
